"network","config","measure","status","finite_nodes","nodes","distinct_raw","distinct_rank_input","elapsed_seconds","warning","error"
"karate","access_information","access_information","ok",34,34,27,27,0.0160000000000002,"",""
"karate","adaptive_leaderrank","adaptive_leaderrank","ok",34,34,24,22,0.143,"",""
"karate","alpha","alpha","ok",34,34,28,22,0.004,"",""
"karate","authority","authority","ok",34,34,29,27,0.00100000000000033,"",""
"karate","average_distance","average_distance","ok",34,34,20,20,0.00699999999999967,"",""
"karate","barycenter","barycenter","ok",34,34,20,20,0.00200000000000022,"",""
"karate","beta_measure","beta_measure","ok",34,34,27,27,0,"",""
"karate","betweenness","betweenness","ok",34,34,22,21,0.00099999999999989,"",""
"karate","bottleneck","bottleneck","ok",34,34,17,17,0.0790000000000002,"",""
"karate","bridging","bridging","ok",34,34,22,21,0.00300000000000011,"",""
"karate","bridging_capital","bridging_capital","ok",34,34,24,24,0.0209999999999999,"",""
"karate","bridging_coefficient","bridging_coefficient","ok",34,34,27,27,0.00099999999999989,"",""
"karate","brokerage_coordinator","brokerage_coordinator","nonfinite",0,34,NA,NA,0,"brokerage requires a directed graph; returning NA",""
"karate","brokerage_gatekeeper","brokerage_gatekeeper","nonfinite",0,34,NA,NA,0.0110000000000001,"brokerage requires a directed graph; returning NA",""
"karate","brokerage_itinerant","brokerage_itinerant","nonfinite",0,34,NA,NA,0,"brokerage requires a directed graph; returning NA",""
"karate","brokerage_liaison","brokerage_liaison","nonfinite",0,34,NA,NA,0,"brokerage requires a directed graph; returning NA",""
"karate","brokerage_representative","brokerage_representative","nonfinite",0,34,NA,NA,0,"brokerage requires a directed graph; returning NA",""
"karate","cda","cda","ok",34,34,27,27,0.00099999999999989,"",""
"karate","centroid","centroid","ok",34,34,18,18,0.004,"",""
"karate","closeness","closeness","ok",34,34,20,20,0.00099999999999989,"",""
"karate","closeness_vitality","closeness_vitality","ok",34,34,22,22,0.0110000000000001,"",""
"karate","clusterrank","clusterrank","nonfinite",33,34,NA,NA,0.004,"",""
"karate","coleman_theil","coleman_theil","ok",34,34,25,25,0.0129999999999999,"",""
"karate","collective_influence","collective_influence","ok",34,34,24,24,0,"",""
"karate","comm_centrality","comm_centrality","ok",34,34,23,23,0,"",""
"karate","communicability","communicability","ok",34,34,28,27,0,"",""
"karate","communicability_betweenness","communicability_betweenness","ok",34,34,34,27,0.00300000000000011,"",""
"karate","community_based","community_based","ok",34,34,24,24,0.00700000000000012,"",""
"karate","community_hub_bridge","community_hub_bridge","ok",34,34,19,19,0.00099999999999989,"",""
"karate","community_mediator","community_mediator","ok",34,34,14,14,0,"",""
"karate","constraint","constraint","ok",34,34,27,26,0,"",""
