zoo_label,config,nearest_baseline,mean_tau_b,mean_spearman,networks,min_tau_b,max_tau_b,min_abs_tau_b
Coleman-Theil disorder index,coleman_theil,shapley_game2,0.6259419459619462,0.7834814933457352,18,0.377293872324588,0.780451127819549,0.377293872324588
k-truss number,truss,lac,0.8098901412821277,0.8986577320916916,18,0.642594961145302,0.896639383301417,0.642594961145302
Improved closeness centrality (ICC),improved_closeness,hide_information,-0.8785075969485663,-0.9521405036359929,19,-0.992592592592593,-0.6,0.6
Volume centrality,volume,shapley_game3,0.8829155225295847,0.9464906936118676,18,0.669535283993115,1.0,0.669535283993115
Egocentric betweenness,ego_betweenness,effective_size,0.9143963475723298,0.9755115777396414,19,0.770872823170114,1.0,0.770872823170114
Resistance curvature,resistance_curvature,leverage,-0.9237785662177584,-0.9713051333543715,14,-0.978947368421052,-0.761904761904762,0.761904761904762
Exogenous centrality,exogenous,fragmentation,0.9250663704559307,0.9705258220464142,14,0.794012656478501,1.0,0.794012656478501
Mixed gravitational centrality,mixed_gravity,expected,0.9398572202955668,0.9822567993960685,19,0.736268675758064,1.0,0.736268675758064
Godfather index,godfather,effective_size,0.9426651042860228,0.9866308233679215,19,0.874030105845948,1.0,0.874030105845948
Adaptive LeaderRank,adaptive_leaderrank,gravity,0.9447893648714106,0.9880566136097491,19,0.851904440168836,1.0,0.851904440168836
Hybrid Global Structure Model (H-GSM),hybrid_global_structure,laplacian,0.9450142805337605,0.9857680215664919,19,0.835766423357664,1.0,0.835766423357664
MCC,mcc,cross_clique,0.9475937096874024,0.9864641135801403,14,0.852547271184834,1.0,0.852547271184834
Extended LBC,extended_local_bridging,bridging,0.9506341503462505,0.9813840947314834,14,0.59919028340081,1.0,0.59919028340081
BG-index,beta_measure,leverage,0.9521445817778683,0.9900490752245986,19,0.904761904761905,0.988023952095808,0.904761904761905
beta-measure,beta_measure,leverage,0.9521445817778683,0.9900490752245986,19,0.904761904761905,0.988023952095808,0.904761904761905
LineRank,linerank,markov,0.9547807019599603,0.9884508544406478,14,0.875912408759124,1.0,0.875912408759124
Extended mixed gravitational centrality,extended_mixed_gravity,kpath,0.958232099853223,0.9928443312972351,19,0.876363636363636,1.0,0.876363636363636
Weighted LeaderRank,weighted_leaderrank,markov,0.9591076996752632,0.990039287920551,19,0.828571428571429,1.0,0.828571428571429
Gravity model,candidate_14,expected_force,0.9591973977433247,0.9898033845409349,19,0.828467153284672,1.0,0.828467153284672
Random walk decay,random_walk_decay,pagerank,0.9603347922335718,0.9905681742142223,14,0.904761904761905,0.990825688073395,0.904761904761905
Extended gravity centrality,extended_gravity,hub,0.9613993655409095,0.9913190454290608,19,0.840083798882681,1.0,0.840083798882681
Node and Neighbor Layer Information (NINL) centrality,ninl,kpath,0.961953914888543,0.9932444705977879,19,0.89051094890511,1.0,0.89051094890511
Expected force (ExFm),modified_expected_force,markov,0.9648897954286771,0.9928286524963702,19,0.902234636871508,1.0,0.902234636871508
Global Structure Model (GSM),global_structure,gravity,0.9652963797318257,0.9913585182952902,19,0.886654478976234,1.0,0.886654478976234
Bridging coefficient,bridging_coefficient,local_bridging,0.9674499307412425,0.9937908902944224,19,0.904761904761905,1.0,0.904761904761905
Malatya centrality,malatya,local_bridging,-0.9674499307412425,-0.9937908902944224,19,-1.0,-0.904761904761905,0.904761904761905
Diffusion centrality,diffusion_centrality,kpath,0.967455529296164,0.9948895692316,19,0.918721844299342,1.0,0.918721844299342
Improved global structure model (IGSM),improved_global_structure,diffusion,0.9687919705245801,0.9948549861693705,19,0.935420028271257,1.0,0.935420028271257
Proximal betwenness,proximal_betweenness,betweenness,0.9696278847228909,0.9936438478439547,19,0.9,1.0,0.9
Multi-characteristics gravity model (MCGM),mcgm,kpath,0.9698265457398103,0.9952583138308595,19,0.923357664233577,1.0,0.923357664233577
Dynamics-sensitive (DS) centrality,dynamics_sensitive,kpath,0.9703580028023123,0.995721170749915,19,0.941358024691358,1.0,0.941358024691358
SpectralRank,spectralrank,subgraph,0.9706416873331377,0.9941652592554021,19,0.885714285714286,1.0,0.885714285714286
Mixed Degree Decomposition (MDD),mdd,degree,0.9721404466795665,0.9920096065725219,19,0.923481182099656,1.0,0.923481182099656
