"config","measure","arguments","native_default"
"access_information","access_information","{""measures"":""access_information""}",TRUE
"adaptive_leaderrank","adaptive_leaderrank","{""measures"":""adaptive_leaderrank""}",TRUE
"alpha","alpha","{""measures"":""alpha""}",TRUE
"authority","authority","{""measures"":""authority""}",TRUE
"average_distance","average_distance","{""measures"":""average_distance""}",TRUE
"barycenter","barycenter","{""measures"":""barycenter""}",TRUE
"beta_measure","beta_measure","{""measures"":""beta_measure""}",TRUE
"betweenness","betweenness","{""measures"":""betweenness""}",TRUE
"bottleneck","bottleneck","{""measures"":""bottleneck""}",TRUE
"bridging","bridging","{""measures"":""bridging""}",TRUE
"bridging_capital","bridging_capital","{""measures"":""bridging_capital""}",TRUE
"bridging_coefficient","bridging_coefficient","{""measures"":""bridging_coefficient""}",TRUE
"brokerage_coordinator","brokerage_coordinator","{""measures"":""brokerage_coordinator""}",TRUE
"brokerage_gatekeeper","brokerage_gatekeeper","{""measures"":""brokerage_gatekeeper""}",TRUE
"brokerage_itinerant","brokerage_itinerant","{""measures"":""brokerage_itinerant""}",TRUE
"brokerage_liaison","brokerage_liaison","{""measures"":""brokerage_liaison""}",TRUE
"brokerage_representative","brokerage_representative","{""measures"":""brokerage_representative""}",TRUE
"cda","cda","{""measures"":""cda""}",TRUE
"centroid","centroid","{""measures"":""centroid""}",TRUE
"closeness","closeness","{""measures"":""closeness""}",TRUE
"closeness_vitality","closeness_vitality","{""measures"":""closeness_vitality""}",TRUE
"clusterrank","clusterrank","{""measures"":""clusterrank""}",TRUE
"coleman_theil","coleman_theil","{""measures"":""coleman_theil""}",TRUE
"collective_influence","collective_influence","{""measures"":""collective_influence""}",TRUE
"comm_centrality","comm_centrality","{""measures"":""comm_centrality""}",TRUE
"communicability","communicability","{""measures"":""communicability""}",TRUE
"communicability_betweenness","communicability_betweenness","{""measures"":""communicability_betweenness""}",TRUE
"community_based","community_based","{""measures"":""community_based""}",TRUE
"community_hub_bridge","community_hub_bridge","{""measures"":""community_hub_bridge""}",TRUE
"community_mediator","community_mediator","{""measures"":""community_mediator""}",TRUE
"constraint","constraint","{""measures"":""constraint""}",TRUE
"controlrank","controlrank","{""measures"":""controlrank""}",TRUE
"coreness","coreness","{""measures"":""coreness""}",TRUE
"cross_clique","cross_clique","{""measures"":""cross_clique""}",TRUE
"current_flow_betweenness","current_flow_betweenness","{""measures"":""current_flow_betweenness""}",TRUE
"current_flow_closeness","current_flow_closeness","{""measures"":""current_flow_closeness""}",TRUE
"dangalchev","dangalchev","{""measures"":""dangalchev""}",TRUE
"decay","decay","{""measures"":""decay""}",TRUE
"degree","degree","{""measures"":""degree""}",TRUE
"degree_discount","degree_discount","{""measures"":""degree_discount""}",TRUE
"delta_betweenness","delta_betweenness","{""measures"":""delta_betweenness""}",TRUE
"delta_closeness","delta_closeness","{""measures"":""delta_closeness""}",TRUE
"diffusion","diffusion","{""measures"":""diffusion""}",TRUE
"diffusion_centrality","diffusion_centrality","{""measures"":""diffusion_centrality""}",TRUE
"distance_entropy","distance_entropy","{""measures"":""distance_entropy""}",TRUE
"diversity","diversity","{""measures"":""diversity""}",TRUE
"dmnc","dmnc","{""measures"":""dmnc""}",TRUE
"dynamical_importance","dynamical_importance","{""measures"":""dynamical_importance""}",TRUE
"dynamics_sensitive","dynamics_sensitive","{""measures"":""dynamics_sensitive""}",TRUE
"eccentricity","eccentricity","{""measures"":""eccentricity""}",TRUE
"effective_size","effective_size","{""measures"":""effective_size""}",TRUE
"ego_betweenness","ego_betweenness","{""measures"":""ego_betweenness""}",TRUE
"eigenvector","eigenvector","{""measures"":""eigenvector""}",TRUE
"enrenew","enrenew","{""measures"":""enrenew""}",TRUE
"entropy","entropy","{""measures"":""entropy""}",TRUE
"entropy_variation_betweenness","entropy_variation_betweenness","{""measures"":""entropy_variation_betweenness""}",TRUE
"entropy_variation_degree","entropy_variation_degree","{""measures"":""entropy_variation_degree""}",TRUE
"epc","epc","{""measures"":""epc""}",TRUE
"exogenous","exogenous","{""measures"":""exogenous""}",TRUE
"expected","expected","{""measures"":""expected""}",TRUE
"expected_force","expected_force","{""measures"":""expected_force""}",TRUE
"expected_influence_1","expected_influence_1","{""measures"":""expected_influence_1""}",TRUE
"expected_influence_2","expected_influence_2","{""measures"":""expected_influence_2""}",TRUE
"extended_coreness","extended_coreness","{""measures"":""extended_coreness""}",TRUE
"extended_gravity","extended_gravity","{""measures"":""extended_gravity""}",TRUE
"extended_local_bridging","extended_local_bridging","{""measures"":""extended_local_bridging""}",TRUE
"extended_mixed_gravity","extended_mixed_gravity","{""measures"":""extended_mixed_gravity""}",TRUE
"flow_betweenness","flow_betweenness","{""measures"":""flow_betweenness""}",TRUE
"flow_coefficient","flow_coefficient","{""measures"":""flow_coefficient""}",TRUE
"fragmentation","fragmentation","{""measures"":""fragmentation""}",TRUE
"fuzzy_local_dimension","fuzzy_local_dimension","{""measures"":""fuzzy_local_dimension""}",TRUE
"gateway","gateway","{""measures"":""gateway""}",TRUE
"generalized_closeness","generalized_closeness","{""measures"":""generalized_closeness""}",TRUE
"geodesic_kpath","geodesic_kpath","{""measures"":""geodesic_kpath""}",TRUE
"gilschmidt","gilschmidt","{""measures"":""gilschmidt""}",TRUE
"global_structure","global_structure","{""measures"":""global_structure""}",TRUE
"godfather","godfather","{""measures"":""godfather""}",TRUE
"graph_regularization","graph_regularization","{""measures"":""graph_regularization""}",TRUE
"gravity","gravity","{""measures"":""gravity""}",TRUE
"harary","harary","{""measures"":""harary""}",TRUE
"harmonic","harmonic","{""measures"":""harmonic""}",TRUE
"heatmap","heatmap","{""measures"":""heatmap""}",TRUE
"hide_information","hide_information","{""measures"":""hide_information""}",TRUE
"hindex_strength","hindex_strength","{""measures"":""hindex_strength""}",TRUE
"hub","hub","{""measures"":""hub""}",TRUE
"hubbell","hubbell","{""measures"":""hubbell""}",TRUE
"hybrid_global_structure","hybrid_global_structure","{""measures"":""hybrid_global_structure""}",TRUE
"improved_closeness","improved_closeness","{""measures"":""improved_closeness""}",TRUE
"improved_global_structure","improved_global_structure","{""measures"":""improved_global_structure""}",TRUE
"infection","infection","{""measures"":""infection""}",TRUE
"information","information","{""measures"":""information""}",TRUE
"integration","integration","{""measures"":""integration""}",TRUE
"katz","katz","{""measures"":""katz""}",TRUE
"kpath","kpath","{""measures"":""kpath""}",TRUE
"kreach","kreach","{""measures"":""kreach""}",TRUE
"lac","lac","{""measures"":""lac""}",TRUE
"laplacian","laplacian","{""measures"":""laplacian""}",TRUE
"leaderrank","leaderrank","{""measures"":""leaderrank""}",TRUE
"length_scaled_betweenness","length_scaled_betweenness","{""measures"":""length_scaled_betweenness""}",TRUE
"leverage","leverage","{""measures"":""leverage""}",TRUE
"lin","lin","{""measures"":""lin""}",TRUE
"linerank","linerank","{""measures"":""linerank""}",TRUE
"load","load","{""measures"":""load""}",TRUE
"lobby","lobby","{""measures"":""lobby""}",TRUE
"local_bridging","local_bridging","{""measures"":""local_bridging""}",TRUE
"local_dimension","local_dimension","{""measures"":""local_dimension""}",TRUE
"local_dimension_fixed","local_dimension_fixed","{""measures"":""local_dimension_fixed""}",TRUE
"local_efficiency","local_efficiency","{""measures"":""local_efficiency""}",TRUE
"local_entropy","local_entropy","{""measures"":""local_entropy""}",TRUE
"local_hindex","local_hindex","{""measures"":""local_hindex""}",TRUE
"local_information_dimension","local_information_dimension","{""measures"":""local_information_dimension""}",TRUE
"local_volume_dimension","local_volume_dimension","{""measures"":""local_volume_dimension""}",TRUE
"localized_bridging","localized_bridging","{""measures"":""localized_bridging""}",TRUE
"malatya","malatya","{""measures"":""malatya""}",TRUE
"map_equation","map_equation","{""measures"":""map_equation""}",TRUE
"markov","markov","{""measures"":""markov""}",TRUE
"mcc","mcc","{""measures"":""mcc""}",TRUE
"mcgm","mcgm","{""measures"":""mcgm""}",TRUE
"mdd","mdd","{""measures"":""mdd""}",TRUE
"mixed_gravity","mixed_gravity","{""measures"":""mixed_gravity""}",TRUE
"mnc","mnc","{""measures"":""mnc""}",TRUE
"modified_expected_force","modified_expected_force","{""measures"":""modified_expected_force""}",TRUE
"modularity_vitality","modularity_vitality","{""measures"":""modularity_vitality""}",TRUE
"ncvoterank","ncvoterank","{""measures"":""ncvoterank""}",TRUE
"neighborhood_connectivity","neighborhood_connectivity","{""measures"":""neighborhood_connectivity""}",TRUE
"ninl","ninl","{""measures"":""ninl""}",TRUE
"node_contraction","node_contraction","{""measures"":""node_contraction""}",TRUE
"node_contraction_improved","node_contraction_improved","{""measures"":""node_contraction_improved""}",TRUE
"nonbacktracking","nonbacktracking","{""measures"":""nonbacktracking""}",TRUE
"onion","onion","{""measures"":""onion""}",TRUE
"pagerank","pagerank","{""measures"":""pagerank""}",TRUE
"pairwisedis","pairwisedis","{""measures"":""pairwisedis""}",TRUE
"participation","participation","{""measures"":""participation""}",TRUE
"percolation","percolation","{""measures"":""percolation""}",TRUE
"power","power","{""measures"":""power""}",TRUE
"prestige_domain","prestige_domain","{""measures"":""prestige_domain""}",TRUE
"prestige_domain_proximity","prestige_domain_proximity","{""measures"":""prestige_domain_proximity""}",TRUE
"proximal_betweenness","proximal_betweenness","{""measures"":""proximal_betweenness""}",TRUE
"radiality","radiality","{""measures"":""radiality""}",TRUE
"random_walk","random_walk","{""measures"":""random_walk""}",TRUE
"random_walk_decay","random_walk_decay","{""measures"":""random_walk_decay""}",TRUE
"reaching_local","reaching_local","{""measures"":""reaching_local""}",TRUE
"redundancy","redundancy","{""measures"":""redundancy""}",TRUE
"renewed_coreness","renewed_coreness","{""measures"":""renewed_coreness""}",TRUE
"residual_closeness","residual_closeness","{""measures"":""residual_closeness""}",TRUE
"resistance_curvature","resistance_curvature","{""measures"":""resistance_curvature""}",TRUE
"rumor","rumor","{""measures"":""rumor""}",TRUE
"s_core","s_core","{""measures"":""s_core""}",TRUE
"s_shell","s_shell","{""measures"":""s_shell""}",TRUE
"salsa","salsa","{""measures"":""salsa""}",TRUE
"second_order","second_order","{""measures"":""second_order""}",TRUE
"semilocal","semilocal","{""measures"":""semilocal""}",TRUE
"shapley_game1","shapley_game1","{""measures"":""shapley_game1""}",TRUE
"shapley_game2","shapley_game2","{""measures"":""shapley_game2""}",TRUE
"shapley_game3","shapley_game3","{""measures"":""shapley_game3""}",TRUE
"single_discount","single_discount","{""measures"":""single_discount""}",TRUE
"spanning_tree","spanning_tree","{""measures"":""spanning_tree""}",TRUE
"spectralrank","spectralrank","{""measures"":""spectralrank""}",TRUE
"strength","strength","{""measures"":""strength""}",TRUE
"stress","stress","{""measures"":""stress""}",TRUE
"subgraph","subgraph","{""measures"":""subgraph""}",TRUE
"support","support","{""measures"":""support""}",TRUE
"topological_coefficient","topological_coefficient","{""measures"":""topological_coefficient""}",TRUE
"transitivity","transitivity","{""measures"":""transitivity""}",TRUE
"trophic_level","trophic_level","{""measures"":""trophic_level""}",TRUE
"truss","truss","{""measures"":""truss""}",TRUE
"two_way_rw","two_way_rw","{""measures"":""two_way_rw""}",TRUE
"volume","volume","{""measures"":""volume""}",TRUE
"voterank","voterank","{""measures"":""voterank""}",TRUE
"voterank_plus","voterank_plus","{""measures"":""voterank_plus""}",TRUE
"weighted_h_index","weighted_h_index","{""measures"":""weighted_h_index""}",TRUE
"weighted_kshell","weighted_kshell","{""measures"":""weighted_kshell""}",TRUE
"weighted_leaderrank","weighted_leaderrank","{""measures"":""weighted_leaderrank""}",TRUE
"wiener","wiener","{""measures"":""wiener""}",TRUE
"within_module_z","within_module_z","{""measures"":""within_module_z""}",TRUE
"wvoterank","wvoterank","{""measures"":""wvoterank""}",TRUE
"x_degree","x_degree","{""measures"":""x_degree""}",TRUE
"candidate_14","gravity","{""gravity_mass"":""degree"",""gravity_radius"":null,""measures"":""gravity""}",FALSE
"candidate_18","betweenness","{""cutoff"":3,""measures"":""betweenness""}",FALSE
"candidate_21","gravity","{""gravity_mass"":""degree"",""gravity_radius"":""auto"",""measures"":""gravity""}",FALSE
