group,size,measure
1,7,average_distance
1,7,barycenter
1,7,closeness
1,7,integration
1,7,lin
1,7,radiality
1,7,wiener
2,4,authority
2,4,communicability
2,4,eigenvector
2,4,hub
3,4,coreness
3,4,local_hindex
3,4,s_core
3,4,weighted_kshell
4,4,current_flow_closeness
4,4,information
4,4,random_walk
4,4,spanning_tree
5,4,dangalchev
5,4,decay
5,4,generalized_closeness
5,4,residual_closeness
6,4,degree
6,4,expected_influence_1
6,4,map_equation
6,4,strength
7,4,delta_closeness
7,4,gilschmidt
7,4,harmonic
7,4,reaching_local
8,3,betweenness
8,3,load
8,3,percolation
9,2,alpha
9,2,power
10,2,bridging_coefficient
10,2,malatya
11,2,diffusion
11,2,expected_influence_2
12,2,flow_coefficient
12,2,transitivity
13,2,hindex_strength
13,2,lobby
14,2,lac
14,2,redundancy
15,2,mnc
15,2,support
