"network","node","community"
"karate","1",1
"karate","2",1
"karate","3",1
"karate","4",1
"karate","5",2
"karate","6",2
"karate","7",2
"karate","8",1
"karate","9",3
"karate","10",3
"karate","11",2
"karate","12",1
"karate","13",1
"karate","14",1
"karate","15",3
"karate","16",3
"karate","17",2
"karate","18",1
"karate","19",3
"karate","20",1
"karate","21",3
"karate","22",1
"karate","23",3
"karate","24",4
"karate","25",4
"karate","26",4
"karate","27",3
"karate","28",4
"karate","29",4
"karate","30",3
"karate","31",3
"karate","32",4
"karate","33",3
"karate","34",3
"kite","A",1
"kite","B",2
"kite","C",1
"kite","D",1
"kite","E",2
"kite","F",1
"kite","G",2
"kite","H",3
"kite","I",3
"kite","J",3
"UKfaculty","1",1
"UKfaculty","2",2
"UKfaculty","3",1
"UKfaculty","4",1
"UKfaculty","5",3
"UKfaculty","6",3
"UKfaculty","7",3
"UKfaculty","8",2
"UKfaculty","9",1
"UKfaculty","10",3
"UKfaculty","11",2
"UKfaculty","12",3
"UKfaculty","13",3
"UKfaculty","14",2
"UKfaculty","15",2
"UKfaculty","16",3
"UKfaculty","17",1
"UKfaculty","18",2
"UKfaculty","19",2
"UKfaculty","20",2
"UKfaculty","21",2
"UKfaculty","22",3
"UKfaculty","23",3
"UKfaculty","24",4
"UKfaculty","25",2
"UKfaculty","26",2
"UKfaculty","27",3
"UKfaculty","28",3
"UKfaculty","29",2
"UKfaculty","30",3
"UKfaculty","31",2
"UKfaculty","32",4
"UKfaculty","33",3
"UKfaculty","34",2
"UKfaculty","35",2
"UKfaculty","36",1
"UKfaculty","37",4
"UKfaculty","38",1
"UKfaculty","39",2
"UKfaculty","40",3
"UKfaculty","41",2
"UKfaculty","42",3
"UKfaculty","43",2
"UKfaculty","44",1
"UKfaculty","45",1
"UKfaculty","46",2
"UKfaculty","47",3
"UKfaculty","48",4
"UKfaculty","49",3
"UKfaculty","50",2
"UKfaculty","51",2
"UKfaculty","52",4
"UKfaculty","53",1
"UKfaculty","54",2
"UKfaculty","55",4
"UKfaculty","56",2
"UKfaculty","57",2
"UKfaculty","58",2
"UKfaculty","59",1
"UKfaculty","60",1
"UKfaculty","61",1
"UKfaculty","62",4
"UKfaculty","63",3
"UKfaculty","64",4
"UKfaculty","65",3
"UKfaculty","66",3
"UKfaculty","67",4
"UKfaculty","68",3
"UKfaculty","69",3
"UKfaculty","70",4
"UKfaculty","71",3
"UKfaculty","72",3
"UKfaculty","73",1
"UKfaculty","74",1
"UKfaculty","75",1
"UKfaculty","76",3
"UKfaculty","77",3
"UKfaculty","78",1
"UKfaculty","79",2
"UKfaculty","80",2
"UKfaculty","81",1
"macaque","V1",1
"macaque","V2",1
"macaque","V3",1
"macaque","V3A",1
"macaque","V4",2
"macaque","V4t",1
"macaque","VOT",2
"macaque","VP",1
"macaque","MT",1
"macaque","MSTd/p",1
"macaque","MSTl",1
"macaque","PO",1
"macaque","LIP",1
"macaque","PIP",1
"macaque","VIP",3
"macaque","DP",1
"macaque","7a",1
"macaque","FST",1
"macaque","PITd",2
"macaque","PITv",2
"macaque","CITd",2
"macaque","CITv",2
"macaque","AITd",2
"macaque","AITv",2
"macaque","STPp",2
"macaque","STPa",2
"macaque","TF",2
"macaque","TH",2
"macaque","FEF",1
"macaque","46",2
"macaque","3a",3
"macaque","3b",3
"macaque","1",3
"macaque","2",3
"macaque","5",3
"macaque","Ri",3
"macaque","SII",3
"macaque","7b",3
"macaque","4",3
"macaque","6",3
"macaque","SMA",3
"macaque","Ig",4
"macaque","Id",4
"macaque","35",4
"macaque","36",4
"foodweb_ChesLower","Net Phytoplankton",1
"foodweb_ChesLower","Picoplankton",1
"foodweb_ChesLower","Free Bacteria",1
"foodweb_ChesLower","Particle Attached Bacteria",1
"foodweb_ChesLower","Heteroflagellates",1
"foodweb_ChesLower","Ciliates",1
"foodweb_ChesLower","Rotifers",2
"foodweb_ChesLower","Meroplankton",1
"foodweb_ChesLower","Mesozooplankton",1
"foodweb_ChesLower","Ctenophores",1
"foodweb_ChesLower","Chrysaora",2
"foodweb_ChesLower","Microphytobenthos",2
"foodweb_ChesLower","SAV",2
"foodweb_ChesLower","Benthic Bacteria",2
"foodweb_ChesLower","Meiofauna",2
"foodweb_ChesLower","Deposit Feeding Benthos",2
"foodweb_ChesLower","Suspension Feeding Benthos",3
"foodweb_ChesLower","Oysters",4
