"network","family","source","original_n","original_m","original_directed","original_weighted","n","m","retained_fraction","adjacency_sha256"
"karate","social","igraph Zachary",34,78,FALSE,FALSE,34,78,1,"5a3130a2732b2f16ede6b541c44d717cac2b6a290f7a287d463f629149104088"
"kite","illustrative","igraphdata kite",10,18,FALSE,FALSE,10,18,1,"4cf576799a73286faf6b50d801f01cd6826c66305fad08b316c017dd98889553"
"UKfaculty","social","igraphdata UKfaculty",81,817,TRUE,TRUE,81,577,1,"72890a9959e097e85b1998881dc2f313add4124d647dd3fa0808876b0ae484b5"
"macaque","neural","igraphdata macaque",45,463,TRUE,FALSE,45,255,1,"bffb2c6015025f90109414c7652fe4c99a16515a124ea8c753b9bd247644dda6"
"foodweb_ChesLower","ecological","igraphdata foodwebs",37,178,TRUE,TRUE,37,167,1,"e07876275b31a94972ccef4900d05d04ceec7f0c5e64c0e9f672fdaaa6d3c67c"
"foodweb_ChesMiddle","ecological","igraphdata foodwebs",37,209,TRUE,TRUE,37,198,1,"4fe1e4f6b30416b07c3208d3fdfc8691713cd0f57389e7c8ecd3baf0492c8085"
"foodweb_ChesUpper","ecological","igraphdata foodwebs",37,215,TRUE,TRUE,37,199,1,"fd1d429c1ebd878026dbf520a361baf09174f56a4d1f38690656709ff7b32da4"
"foodweb_Chesapeake","ecological","igraphdata foodwebs",39,177,TRUE,TRUE,39,170,1,"9e0c6ed03bbdd160a07a268598cbdc84a4ca559888be39f3f220ad53d04cdfe0"
"foodweb_CrystalC","ecological","igraphdata foodwebs",24,125,TRUE,TRUE,24,114,1,"e78b7dd03eec2ca8bdb88adc51aa3d3708454e03797e178e8bd8a6f960a2520f"
"foodweb_CrystalD","ecological","igraphdata foodwebs",24,100,TRUE,TRUE,24,92,1,"0dff57b0860c8c12d1908638bbe2723ef13f35140148c273ada0d198d62a2bd7"
"foodweb_Maspalomas","ecological","igraphdata foodwebs",24,82,TRUE,TRUE,24,77,1,"ff4e17cf926134c43d9b28bd674813f7bc135fd55a0eaad9ad5959d79a33ad69"
"foodweb_Michigan","ecological","igraphdata foodwebs",39,221,TRUE,TRUE,39,209,1,"64d79ed4b3fd93c6a6c2da2197b09ab44a5a76654cfbee3c4d785a9ed1d284c0"
"foodweb_Mondego","ecological","igraphdata foodwebs",46,400,TRUE,TRUE,46,358,1,"27093158f9fc5c38f30c7f21e01a472a9672946ae3f1eab6f5b808b91c423b85"
"foodweb_Narragan","ecological","igraphdata foodwebs",35,220,TRUE,TRUE,35,204,1,"60b3ced3669dbc14753abdccd22e13b0fe48b12c5f96ceada7612a657d0e5a7c"
"foodweb_Rhode","ecological","igraphdata foodwebs",20,53,TRUE,TRUE,19,45,0.95,"c28e8be4208188ad0f402023ddbfacaf90bebc179275b82abe7ea1f614554bb1"
"foodweb_StMarks","ecological","igraphdata foodwebs",54,356,TRUE,TRUE,54,350,1,"2fcc83ba295dfe2498ee37c7b633badbe5cd9f71979cdaf5eba9344f90944e18"
"les_miserables","literary","NetworkX les_miserables_graph",77,254,FALSE,TRUE,77,254,1,"7400badc1d6359a7b8dfc71d3a8992ce0f668fe55d91c87574d94503448d688a"
"florentine","social","NetworkX florentine_families_graph",15,20,FALSE,FALSE,15,20,1,"4098652774e5829bc0403620116ac342d1f71e3b177222b23691f265ce71b74d"
"davis","social_bipartite","NetworkX davis_southern_women_graph; affiliation graph retained",32,89,FALSE,FALSE,32,89,1,"d42441ba6a81dc364427cb5f6636819f9521de355ecba815abbc6d7acce6f012"
