config_1,config_2,networks,mean_tau_b,mean_abs_tau_b,median_tau_b,min_tau_b,max_tau_b,min_abs_tau_b,mean_spearman,mean_pearson,domain_balanced_tau_b,mean_tau_without_kite,networks_abs_tau_ge_099,mean_raw_tie_sensitivity,max_raw_tie_sensitivity
average_distance,barycenter,19,-1.0,1.0,-1.0,-1.0,-1.0,1.0,-1.0,-0.9763430438757793,-1.0,-1.0,19,0.0,0.0
average_distance,closeness,19,-1.0,1.0,-1.0,-1.0,-1.0,1.0,-1.0,-0.9763430438757793,-1.0,-1.0,19,0.0,0.0
barycenter,closeness,19,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,19,0.0,0.0
dangalchev,decay,19,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,19,0.0,0.0
degree,expected_influence_1,19,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,19,0.0,0.0
dangalchev,generalized_closeness,19,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,19,0.0,0.0
decay,generalized_closeness,19,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,19,0.0,0.0
delta_closeness,gilschmidt,19,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,19,0.0,0.0
delta_closeness,harmonic,19,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,19,0.0013468578906039995,0.009662062339713007
gilschmidt,harmonic,19,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,19,0.0013468578906039995,0.009662062339713007
current_flow_closeness,information,19,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,19,0.006305898610662365,0.033908216920704004
average_distance,integration,19,-1.0,1.0,-1.0,-1.0,-1.0,1.0,-1.0,-1.0,-1.0,-1.0,19,0.011849160517256907,0.03971062245656698
barycenter,integration,19,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9763430438757794,1.0,1.0,19,0.011849160517256907,0.03971062245656698
closeness,integration,19,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9763430438757794,1.0,1.0,19,0.011849160517256907,0.03971062245656698
average_distance,lin,19,-1.0,1.0,-1.0,-1.0,-1.0,1.0,-1.0,-0.9763430438757793,-1.0,-1.0,19,0.0,0.0
barycenter,lin,19,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,19,0.0,0.0
closeness,lin,19,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,19,0.0,0.0
integration,lin,19,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9763430438757793,1.0,1.0,19,0.011849160517256907,0.03971062245656698
hindex_strength,lobby,19,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,19,0.0,0.0
coreness,local_hindex,19,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,19,0.0,0.0
bridging_coefficient,malatya,19,-1.0,1.0,-1.0,-1.0,-1.0,1.0,-1.0,-0.37936699111483446,-1.0,-1.0,19,0.0,0.0
degree,map_equation,19,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9998628757408272,1.0,1.0,19,0.004564758766943581,0.030056974000940984
expected_influence_1,map_equation,19,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9998628757408272,1.0,1.0,19,0.004564758766943581,0.030056974000940984
betweenness,percolation,19,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,19,5.3297815136527384e-05,0.0010126584875940203
