zoo_label_1,zoo_label_2,config_1,config_2,native_mean_tau_b,zoo_reported_tau,native_minus_zoo,native_mean_abs_tau_b,native_mean_abs_tau_minus_zoo,networks,native_min_tau_b,native_max_tau_b,same_native_configuration
Bridging coefficient,Malatya centrality,bridging_coefficient,malatya,-1.0,0.9067981290681457,-1.9067981290681457,1.0,0.09320187093185428,19,-1.0,-1.0,False
BG-index,Bridging coefficient,beta_measure,bridging_coefficient,-0.9065171936848303,1.0,-1.9065171936848304,0.9065171936848303,-0.0934828063151697,19,-0.988023952095808,-0.761904761904762,False
Bridging coefficient,beta-measure,bridging_coefficient,beta_measure,-0.9065171936848303,1.0,-1.9065171936848304,0.9065171936848303,-0.0934828063151697,19,-0.988023952095808,-0.761904761904762,False
BG-index,Resistance curvature,beta_measure,resistance_curvature,-0.9417910605041269,0.9085095127902527,-1.8503005732943796,0.9417910605041269,0.03328154771387415,14,-1.0,-0.666666666666667,False
beta-measure,Resistance curvature,beta_measure,resistance_curvature,-0.9417910605041269,0.9085095127902527,-1.8503005732943796,0.9417910605041269,0.03328154771387415,14,-1.0,-0.666666666666667,False
Bridging coefficient,Random walk decay,bridging_coefficient,random_walk_decay,-0.9523910993580957,0.8838402861003144,-1.8362313854584102,0.9523910993580957,0.06855081325778134,14,-0.992727272727273,-0.861253877644822,False
Resistance curvature,Malatya centrality,resistance_curvature,malatya,-0.9210606415178078,0.9118043881521459,-1.8328650296699536,0.9210606415178078,0.009256253365661826,14,-0.969418960244648,-0.714285714285714,False
Resistance curvature,Random walk decay,resistance_curvature,random_walk_decay,-0.9083992377792204,0.9169969316985932,-1.8253961694778136,0.9083992377792204,-0.008597693919372817,14,-0.979757085020243,-0.794461346554275,False
Map Equation Centrality (MEC),Resistance curvature,map_equation,resistance_curvature,-0.8352941047040718,0.778845127421134,-1.614139232125206,0.8352941047040718,0.05644897728293785,14,-0.920117390968411,-0.58554004376912,False
Godfather index,Resistance curvature,godfather,resistance_curvature,-0.8485650751522449,0.7644294943853306,-1.6129945695375754,0.8485650751522449,0.0841355807669143,14,-0.963204559526875,-0.728217605727848,False
Bridging coefficient,Map Equation Centrality (MEC),bridging_coefficient,map_equation,-0.8997726493319943,0.7064478467100812,-1.6062204960420754,0.8997726493319943,0.1933248026219131,19,-0.940734743629634,-0.84463875955721,False
Godfather index,Bridging coefficient,godfather,bridging_coefficient,-0.8763895196404484,0.7266698388198084,-1.6030593584602568,0.8763895196404484,0.14971968082064002,19,-0.955823681676094,-0.718066698459195,False
Mixed Degree Decomposition (MDD),Resistance curvature,mdd,resistance_curvature,-0.7803363845716789,0.8179439699617319,-1.5982803545334108,0.7803363845716789,-0.037607585390053044,14,-0.904329364869095,-0.523809523809524,False
Mixed Degree Decomposition (MDD),Bridging coefficient,mdd,bridging_coefficient,-0.8432114117230114,0.753931902819824,-1.5971433145428353,0.8432114117230114,0.08927950890318737,19,-0.925357998371279,-0.683340341988168,False
Proximal betwenness,Resistance curvature,proximal_betweenness,resistance_curvature,-0.8236217128902993,0.7618525415320607,-1.5854742544223601,0.8236217128902993,0.06176917135823856,14,-0.910625240830897,-0.683130051063973,False
delta-betweenness,Resistance curvature,delta_betweenness,resistance_curvature,-0.8308546257954439,0.7525658874784226,-1.5834205132738663,0.8308546257954439,0.07828873831702132,14,-0.910625240830897,-0.71402668542453,False
Length-scaled betweenness,Resistance curvature,length_scaled_betweenness,resistance_curvature,-0.8198238908890927,0.7492156400792308,-1.5690395309683236,0.8198238908890927,0.07060825080986188,14,-0.910625240830897,-0.706740698838566,False
k-betweenness,Resistance curvature,candidate_18,resistance_curvature,-0.8128021287109671,0.7502912245116441,-1.5630933532226112,0.8128021287109671,0.06251090419932304,14,-0.910625240830897,-0.641166819564884,False
Egocentric betweenness,Resistance curvature,ego_betweenness,resistance_curvature,-0.7720204823779782,0.7678743828129043,-1.5398948651908824,0.7720204823779782,0.004146099565073835,14,-0.920117390968411,-0.497265248406449,False
Support,Bridging coefficient,support,bridging_coefficient,-0.8141627227389546,0.7205114919913581,-1.5346742147303127,0.8141627227389546,0.09365123074759651,18,-0.916469707353646,-0.410383867147477,False
Exogenous centrality,Resistance curvature,exogenous,resistance_curvature,-0.7542314677276548,0.760752148876341,-1.5149836166039958,0.7542314677276548,-0.006520681148686203,14,-0.909592653189197,-0.514583318239296,False
Support,Resistance curvature,support,resistance_curvature,-0.7192732163006612,0.7783728788285379,-1.4976460951291992,0.7192732163006612,-0.059099662527876684,13,-0.871040455532093,-0.247423206341735,False
Proximal betwenness,Bridging coefficient,proximal_betweenness,bridging_coefficient,-0.7754093651269277,0.7148377267530694,-1.490247091879997,0.7754093651269277,0.06057163837385826,19,-0.913080493895443,-0.58554004376912,False
Graph regularization centrality (GRC),Resistance curvature,graph_regularization,resistance_curvature,-0.7436021485308352,0.7387917458892522,-1.4823938944200874,0.7436021485308352,0.004810402641582945,14,-0.850152905198777,-0.619047619047619,False
delta-betweenness,Bridging coefficient,delta_betweenness,bridging_coefficient,-0.7714635879792031,0.7022114797123785,-1.4736750676915817,0.7714635879792031,0.0692521082668246,19,-0.913080493895443,-0.518874521662771,False
Egocentric betweenness,Bridging coefficient,ego_betweenness,bridging_coefficient,-0.7437531594661467,0.7289765694887046,-1.4727297289548513,0.7437531594661467,0.014776589977442134,19,-0.933962017461948,-0.475327075682635,False
Length-scaled betweenness,Bridging coefficient,length_scaled_betweenness,bridging_coefficient,-0.7614443198309716,0.6991270424276097,-1.4605713622585812,0.7614443198309716,0.062317277403361904,19,-0.913080493895443,-0.487950036474267,False
k-betweenness,Bridging coefficient,candidate_18,bridging_coefficient,-0.7584319346558955,0.6993671152846003,-1.4577990499404958,0.7584319346558955,0.05906481937129526,19,-0.913080493895443,-0.536745040121693,False
Expected force (ExFm),Resistance curvature,modified_expected_force,resistance_curvature,-0.722793502022745,0.7344892863266667,-1.4572827883494117,0.722793502022745,-0.011695784303921708,14,-0.856269113149847,-0.523809523809524,False
Bridging coefficient,MCC,bridging_coefficient,mcc,-0.733850169533974,0.7139765731097972,-1.4478267426437712,0.733850169533974,0.019873596424176743,14,-0.933962017461948,-0.57981993465609,False
Weighted LeaderRank,Resistance curvature,weighted_leaderrank,resistance_curvature,-0.720651682604649,0.7224514887421414,-1.4431031713467903,0.720651682604649,-0.0017998061374924212,14,-0.859327217125382,-0.523809523809524,False
Resistance curvature,MCC,resistance_curvature,mcc,-0.6671881845703375,0.7757092296325455,-1.442897414202883,0.6671881845703375,-0.10852104506220805,14,-0.920117390968411,-0.523809523809524,False
Gravity model,Resistance curvature,candidate_14,resistance_curvature,-0.7119347199295158,0.730832467094876,-1.4427671870243919,0.7119347199295158,-0.01889774716536019,14,-0.831804281345566,-0.523809523809524,False
