zoo_label,cograph_measure
"Degree","degree"
"Eigenvector","eigenvector"
"Katz","katz (also alpha)"
"PageRank","pagerank"
"Betweenness","betweenness"
"Flow betweenness","flow_betweenness"
"Current-flow betweenness","current_flow_betweenness"
"delta-betweenness","delta_betweenness [batch 11]"
"Closeness","closeness"
"delta-closeness","delta_closeness [batch 11]"
"Harmonic","harmonic"
"Decay","decay"
"Subgraph","subgraph"
"Laplacian","laplacian"
"Percolation","percolation"
"k-shell","coreness"
"CollInf","collective_influence"
"Current-flow Closeness","current_flow_closeness (also information)"
"BottleNeck","bottleneck"
"Centroid","centroid"
"Closeness vitality","closeness_vitality"
"ClusterRank","clusterrank"
"Communicability betweenness","communicability_betweenness"
"Cross-Clique Connectivity","cross_clique"
"Diffusion Degree","diffusion"
"MNC","mnc"
"DMNC","dmnc"
"Load","load"
"m-reach","kreach"
"Geodesic k-path","geodesic_kpath [batch 9]"
"Second order centrality","second_order"
"VoteRank","voterank"
"Entropy","entropy"
"Hubbel","hubbell"
"LeaderRank","leaderrank"
"Leverage","leverage"
"Lin's index","lin"
"Lobby index","lobby"
"Markov","markov"
"Pairwise disconnectivity","pairwisedis"
"Integration","integration"
"SALSA","salsa"
"Topological","topological_coefficient"
"Neighborhood connectivity","neighborhood_connectivity [batch 7]"
"Local H-index","local_hindex"
"Eccentricity","eccentricity"
"Stress","stress"
"k-betweenness","betweenness (with cutoff)"
"Distance-weighted fragmentation","fragmentation [batch 10]"
"Burt's constraint","constraint"
"Residual closeness","residual_closeness"
"Bridging centrality","bridging"
"Egocentric betweenness","ego_betweenness [batch 11]"
"Localized bridging centrality","local_bridging"
"Effective size","effective_size"
"Shapley value (game 1)","shapley_game1 [batch 8]"
"Shapley value (game 2)","shapley_game2 [batch 8]"
"Shapley value (game 3)","shapley_game3 [batch 8]"
"Local clustering coefficient","transitivity"
"Redundancy","redundancy [batch 9]"
"Borgatti's effective size","effective_size"
"Gil-Schmidt Power Index","gilschmidt"
"Participation coefficient","participation"
"Total communicability","communicability"
"Community-based centrality (CbC)","community_based [batch 9]"
"Non-backtracking centrality","nonbacktracking"
"Intra-module degree","within_module_z"
"Gravity centrality","gravity"
"Gravity model","gravity (gravity_mass = degree)"
"Local gravity model","gravity (gravity_radius = auto)"
"Length-scaled betweenness","length_scaled_betweenness [batch 11]"
"Access information","access_information [batch 8]"
"Hide information","hide_information [batch 8]"
"Node contraction (IMC)","node_contraction [batch 9]"
"Improved IMC","node_contraction_improved [batch 9]"
"Rumor centrality","rumor [batch 8]"
"Heatmap centrality","heatmap [batch 9]"
"Random walk centrality","random_walk"
"Gateway coefficient","gateway"
"Flow coefficient","flow_coefficient [batch 9]"
"Diversity coefficient","diversity"
"Spanning tree centrality (STC)","spanning_tree"
"Two-way random walk betweenness (2RW)","two_way_rw [batch 9]"
"Weighted k-shell decomposition (Wks)","weighted_kshell [batch 9]"
"Semi-local ranking (SLC)","semilocal"
"WVoteRank","wvoterank [batch 9]"
"NCVoteRank","ncvoterank [batch 8]"
"Local entropy (LE)","local_entropy [batch 9]"
"SingleDiscount","single_discount [batch 8]"
"DegreeDiscountIC","degree_discount [batch 8]"
"EnRenew","enrenew [batch 9]"
"Expected force (ExF)","expected"
"Entropy variation (degree)","entropy_variation_degree [batch 8]"
"Entropy variation (betweenness)","entropy_variation_betweenness [batch 8]"
"Distance entropy","distance_entropy [batch 7]"
"Local information dimensionality (LID)","local_information_dimension [batch 7]"
"Local dimension (LD)","local_dimension_fixed [batch 9]"
"Local dimension (Pu)","local_dimension [batch 7]"
"Infection number","infection"
"Fuzzy local dimension (FLD)","fuzzy_local_dimension [batch 9]"
"Renewed coreness","renewed_coreness [batch 9]"
"Weighted h-index","weighted_h_index [batch 9]"
"h-index strength","hindex_strength"
"Comm Centrality","comm_centrality [batch 9]"
"Community-based mediator (CbM)","community_mediator [batch 9]"
"Community Hub‑Bridge measure","community_hub_bridge [batch 8]"
"Modularity vitality","modularity_vitality [batch 7]"
"s-shell index","s_shell [batch 8]"
"Local volume dimension (LVD)","local_volume_dimension [batch 9]"
"VoteRank++","voterank_plus [batch 9]"
