"group","size","measure"
1,17,"average_distance"
1,17,"barycenter"
1,17,"closeness"
1,17,"dangalchev"
1,17,"decay"
1,17,"delta_closeness"
1,17,"generalized_closeness"
1,17,"gilschmidt"
1,17,"harary"
1,17,"harmonic"
1,17,"integration"
1,17,"lin"
1,17,"node_contraction_improved"
1,17,"radiality"
1,17,"reaching_local"
1,17,"residual_closeness"
1,17,"wiener"
2,6,"authority"
2,6,"communicability"
2,6,"eigenvector"
2,6,"hub"
2,6,"nonbacktracking"
2,6,"subgraph"
3,5,"betweenness"
3,5,"delta_betweenness"
3,5,"length_scaled_betweenness"
3,5,"load"
3,5,"percolation"
4,5,"current_flow_closeness"
4,5,"information"
4,5,"markov"
4,5,"random_walk"
4,5,"spanning_tree"
5,4,"coreness"
5,4,"local_hindex"
5,4,"s_core"
5,4,"weighted_kshell"
6,4,"diffusion"
6,4,"expected"
6,4,"expected_influence_2"
6,4,"semilocal"
7,3,"degree"
7,3,"expected_influence_1"
7,3,"strength"
8,3,"katz"
8,3,"kpath"
8,3,"laplacian"
9,2,"alpha"
9,2,"power"
10,2,"flow_coefficient"
10,2,"transitivity"
11,2,"hindex_strength"
11,2,"lobby"
12,2,"lac"
12,2,"redundancy"
13,2,"local_bridging"
13,2,"pagerank"
14,1,"access_information"
15,1,"bottleneck"
16,1,"bridging"
17,1,"centroid"
18,1,"closeness_vitality"
19,1,"clusterrank"
20,1,"collective_influence"
21,1,"comm_centrality"
22,1,"communicability_betweenness"
23,1,"community_based"
24,1,"community_hub_bridge"
25,1,"community_mediator"
26,1,"constraint"
27,1,"cross_clique"
28,1,"current_flow_betweenness"
29,1,"degree_discount"
30,1,"distance_entropy"
31,1,"diversity"
32,1,"dmnc"
33,1,"eccentricity"
34,1,"effective_size"
35,1,"ego_betweenness"
36,1,"enrenew"
37,1,"entropy"
38,1,"entropy_variation_betweenness"
39,1,"entropy_variation_degree"
40,1,"epc"
41,1,"flow_betweenness"
42,1,"fragmentation"
43,1,"fuzzy_local_dimension"
44,1,"gateway"
45,1,"geodesic_kpath"
46,1,"gravity"
47,1,"heatmap"
48,1,"hide_information"
49,1,"infection"
50,1,"kreach"
51,1,"leverage"
52,1,"local_dimension"
53,1,"local_dimension_fixed"
54,1,"local_efficiency"
55,1,"local_entropy"
56,1,"local_information_dimension"
57,1,"local_volume_dimension"
58,1,"mnc"
59,1,"modularity_vitality"
60,1,"ncvoterank"
61,1,"neighborhood_connectivity"
62,1,"node_contraction"
63,1,"onion"
64,1,"participation"
65,1,"renewed_coreness"
66,1,"rumor"
67,1,"s_shell"
68,1,"second_order"
69,1,"shapley_game1"
70,1,"shapley_game2"
71,1,"shapley_game3"
72,1,"single_discount"
73,1,"stress"
74,1,"topological_coefficient"
75,1,"two_way_rw"
76,1,"voterank"
77,1,"voterank_plus"
78,1,"weighted_h_index"
79,1,"within_module_z"
80,1,"wvoterank"
