"measure_1","measure_2","tau","networks"
"average_distance","barycenter",-1,19
"average_distance","closeness",-1,19
"barycenter","closeness",1,19
"dangalchev","decay",1,19
"degree","expected_influence_1",1,19
"dangalchev","generalized_closeness",1,19
"decay","generalized_closeness",1,19
"delta_closeness","gilschmidt",1,19
"average_distance","lin",-1,19
"barycenter","lin",1,19
"closeness","lin",1,19
"hindex_strength","lobby",1,19
"coreness","local_hindex",1,19
"average_distance","radiality",-1,19
"barycenter","radiality",1,19
"closeness","radiality",1,19
"lin","radiality",1,19
"harmonic","reaching_local",1,19
"lac","redundancy",1,18
"dangalchev","residual_closeness",1,19
"decay","residual_closeness",1,19
"generalized_closeness","residual_closeness",1,19
"coreness","s_core",1,19
"local_hindex","s_core",1,19
"degree","strength",1,19
"expected_influence_1","strength",1,19
"coreness","weighted_kshell",1,19
"local_hindex","weighted_kshell",1,19
"s_core","weighted_kshell",1,19
"average_distance","wiener",1,19
"barycenter","wiener",-1,19
"closeness","wiener",-1,19
"lin","wiener",-1,19
"radiality","wiener",-1,19
"betweenness","percolation",0.9999,19
"flow_coefficient","transitivity",-0.9993,18
"delta_closeness","harmonic",0.9977,19
"gilschmidt","harmonic",0.9977,19
"delta_closeness","reaching_local",0.9977,19
"gilschmidt","reaching_local",0.9977,19
"information","random_walk",0.9952,19
"diffusion","expected_influence_2",0.9951,19
"expected","expected_influence_2",0.9948,19
"random_walk","spanning_tree",0.9945,19
"information","spanning_tree",0.9943,19
"current_flow_closeness","random_walk",0.9941,19
"current_flow_closeness","information",0.9939,19
"current_flow_closeness","spanning_tree",0.9933,19
"authority","eigenvector",0.9924,19
"communicability","eigenvector",0.9914,19
"load","percolation",0.9901,19
"betweenness","load",0.99,19
"delta_betweenness","length_scaled_betweenness",0.9897,19
"authority","communicability",0.9887,19
"diffusion","expected",0.9886,19
"average_distance","integration",-0.9876,19
"barycenter","integration",0.9876,19
"closeness","integration",0.9876,19
"integration","lin",0.9876,19
"integration","radiality",0.9876,19
"integration","wiener",-0.9876,19
"length_scaled_betweenness","percolation",0.9862,19
"betweenness","length_scaled_betweenness",0.986,19
"markov","random_walk",0.9849,19
"length_scaled_betweenness","load",0.9842,19
"dangalchev","harmonic",0.9826,19
"decay","harmonic",0.9826,19
"generalized_closeness","harmonic",0.9826,19
"dangalchev","reaching_local",0.9826,19
"decay","reaching_local",0.9826,19
"generalized_closeness","reaching_local",0.9826,19
"harmonic","residual_closeness",0.9826,19
"reaching_local","residual_closeness",0.9826,19
"expected","semilocal",0.9823,19
"information","markov",0.9809,19
"alpha","power",0.9807,18
"dangalchev","delta_closeness",0.9806,19
"decay","delta_closeness",0.9806,19
"delta_closeness","generalized_closeness",0.9806,19
"dangalchev","gilschmidt",0.9806,19
"decay","gilschmidt",0.9806,19
"generalized_closeness","gilschmidt",0.9806,19
"delta_closeness","residual_closeness",0.9806,19
"gilschmidt","residual_closeness",0.9806,19
"markov","spanning_tree",0.9801,19
"current_flow_closeness","markov",0.9784,19
"expected_influence_2","semilocal",0.9773,19
"communicability","subgraph",0.977,19
"delta_betweenness","percolation",0.976,19
"betweenness","delta_betweenness",0.9759,19
"delta_betweenness","load",0.9749,19
"harary","harmonic",0.9741,19
"harary","reaching_local",0.9741,19
"delta_closeness","harary",0.9739,19
"gilschmidt","harary",0.9739,19
"diffusion","semilocal",0.973,19
"eigenvector","subgraph",0.9719,19
"kpath","laplacian",0.9715,19
"authority","subgraph",0.969,19
