package,fun,cograph,note
igraph,degree,degree,
igraph,strength,strength,
igraph,closeness,closeness,
igraph,harmonic_centrality,harmonic,
igraph,betweenness,betweenness,
igraph,eigen_centrality,eigenvector,
igraph,page_rank,pagerank,
igraph,hub_score,hub,
igraph,authority_score,authority,
igraph,coreness,coreness,
igraph,constraint,constraint,
igraph,eccentricity,eccentricity,
igraph,subgraph_centrality,subgraph,
igraph,alpha_centrality,alpha,
igraph,power_centrality,power,
igraph,diversity,diversity,
igraph,transitivity,transitivity,
igraph,knn,neighborhood_connectivity,
sna,degree,degree,
sna,closeness,closeness,
sna,betweenness,betweenness,
sna,evcent,eigenvector,
sna,stresscent,stress,
sna,flowbet,flow_betweenness,
sna,infocent,information,
sna,gilschmidt,gilschmidt,
sna,prestige,prestige_domain,
sna,brokerage,brokerage_coordinator,
centiserve,averagedis,average_distance,
centiserve,barycenter,barycenter,
centiserve,bottleneck,bottleneck,
centiserve,centroid,centroid,
centiserve,closeness.currentflow,current_flow_closeness,
centiserve,closeness.freeman,closeness,
centiserve,closeness.residual,residual_closeness,
centiserve,closeness.vitality,closeness_vitality,
centiserve,clusterrank,clusterrank,
centiserve,crossclique,cross_clique,
centiserve,decay,decay,
centiserve,diffusion.degree,diffusion,
centiserve,dmnc,dmnc,
centiserve,entropy,entropy,
centiserve,geokpath,geodesic_kpath,
centiserve,hubbell,hubbell,
centiserve,katzcent,katz,
centiserve,laplacian,laplacian,
centiserve,leaderrank,leaderrank,
centiserve,leverage,leverage,
centiserve,lincent,lin,
centiserve,lobby,lobby,
centiserve,markovcent,markov,
centiserve,mnc,mnc,
centiserve,pairwisedis,pairwisedis,
centiserve,radiality,radiality,
centiserve,salsa,salsa,
centiserve,semilocal,semilocal,
centiserve,topocoefficient,topological_coefficient,
brainGraph,centr_lev,leverage,
brainGraph,gateway_coeff,gateway,
brainGraph,within_module_deg_z_score,within_module_z,
brainGraph,centr_betw_comm,communicability_betweenness,
influenceR,betweenness,betweenness,
influenceR,bridging,bridging,
influenceR,constraint,constraint,
influenceR,ens,effective_size,
keyplayer,mreach.degree,kreach,
keyplayer,diffusion,diffusion,
tidygraph,centrality_degree,degree,
tidygraph,centrality_closeness,closeness,
tidygraph,centrality_closeness_harmonic,harmonic,
tidygraph,centrality_closeness_residual,residual_closeness,
tidygraph,centrality_closeness_generalised,generalized_closeness,
tidygraph,centrality_betweenness,betweenness,
tidygraph,centrality_betweenness_current,current_flow_betweenness,
tidygraph,centrality_betweenness_communicability,communicability_betweenness,
tidygraph,centrality_eigen,eigenvector,
tidygraph,centrality_pagerank,pagerank,
tidygraph,centrality_hub,hub,
tidygraph,centrality_authority,authority,
tidygraph,centrality_katz,katz,
tidygraph,centrality_alpha,alpha,
tidygraph,centrality_power,power,
tidygraph,centrality_subgraph,subgraph,
tidygraph,centrality_communicability,communicability,
tidygraph,centrality_information,information,
tidygraph,centrality_integration,integration,
tidygraph,centrality_expected,expected,
tidygraph,centrality_decay,decay,
tidygraph,centrality_random_walk,random_walk,
tidygraph,node_constraint,constraint,
tidygraph,node_coreness,coreness,
tidygraph,node_eccentricity,eccentricity,
CINNA,Average Distance,average_distance,
CINNA,Barycenter Centrality,barycenter,
CINNA,BottleNeck Centrality,bottleneck,
CINNA,Centroid value,centroid,
CINNA,Closeness Centrality (Freeman),closeness,
CINNA,ClusterRank,clusterrank,
CINNA,Decay Centrality,decay,
CINNA,Degree Centrality,degree,
CINNA,Diffusion Degree,diffusion,
CINNA,DMNC - Density of Maximum Neighborhood Component,dmnc,
CINNA,Eccentricity Centrality,eccentricity,
CINNA,Harary Centrality,harary,
CINNA,eigenvector centralities,eigenvector,
CINNA,K-core Decomposition,coreness,
CINNA,Geodesic K-Path Centrality,geodesic_kpath,
CINNA,Katz Centrality (Katz Status Index),katz,
CINNA,Kleinberg's authority centrality scores,authority,
CINNA,Kleinberg's hub centrality scores,hub,
CINNA,clustering coefficient,transitivity,
CINNA,Lin Centrality,lin,
