"zoo_label","tau","nearest_zoo","nearest_cograph"
"Immediate Effects Centrality (IEC)",0.998,"Markov","markov"
"Improved neighbors’ k-core (INK)",0.995,"Local H-index","local_hindex"
"Length-scaled betweenness",0.991,"Betweenness","betweenness"
"Exogenous centrality",0.991,"Distance-weighted fragmentation","fragmentation"
"Hybrid degree centrality",0.991,"Hubbel","hubbell"
"Support",0.99,"MNC","mnc"
"delta-closeness",0.989,"Closeness","closeness"
"Godfather index",0.988,"Effective size","effective_size"
"Relative entropy",0.988,"Bridging centrality","bridging"
"Egocentric betweenness",0.987,"Effective size","effective_size"
"delta-betweenness",0.986,"Betweenness","betweenness"
"k-path",0.986,"Diffusion Degree","diffusion"
"ControlRank",0.986,"Second order centrality","second_order"
"Dynamical importance",0.984,"Eigenvector","eigenvector"
"Average shortest path centrality (AC)",0.984,"Closeness vitality","closeness_vitality"
"Proximal betwenness",0.983,"Bridging centrality","bridging"
"Dynamics-sensitive (DS) centrality",0.983,"Infection number","infection"
"Mixed Degree Decomposition (MDD)",0.982,"Degree","degree"
"Expected force (ExFm)",0.982,"Hubbel","hubbell"
"Extended improved k-shell hybrid (EIKH)",0.981,"Infection number","infection"
"Mapping entropy (ME)",0.981,"Hubbel","hubbell"
"Gravity model",0.98,"Hubbel","hubbell"
"Extended LBC",0.979,"Bridging centrality","bridging"
"Extended k-shell hybrid method",0.979,"Infection number","infection"
"Neighbor distance centrality",0.979,"Laplacian","laplacian"
"Clustering degree algorithm (CDA)",0.978,"Diffusion Degree","diffusion"
"Diffusion centrality",0.977,"Infection number","infection"
"k-betweenness",0.976,"Betweenness","betweenness"
"SpectralRank",0.976,"Infection number","infection"
"Weight degree centrality (Wdc)",0.975,"Diffusion Degree","diffusion"
"Bridging capital",0.973,"Infection number","infection"
"Laplacian gravity centrality (LGC)",0.973,"Diffusion Degree","diffusion"
"Local gravity model",0.972,"Hubbel","hubbell"
"Graph regularization centrality (GRC)",0.972,"Hubbel","hubbell"
"Influence capability (IC)",0.972,"h-index strength","hindex_strength"
"Weighted gravity model (WGravity)",0.972,"Infection number","infection"
"Improved iterative resource allocation (IIRA)",0.972,"Random walk centrality","random_walk"
"Node and Neighbor Layer Information (NINL) centrality",0.972,"Total communicability","communicability"
"Extended H-index centrality (EHC)",0.972,"h-index strength","hindex_strength"
"Extended Cluster Coefficient Ranking Measure (ECRM)",0.971,"Total communicability","communicability"
"Mixed core, degree and entropy (MCDE)",0.971,"Degree","degree"
"Weighted k-shell degree neighborhood (Maji)",0.97,"Hubbel","hubbell"
"LineRank",0.969,"Laplacian","laplacian"
"Improved global structure model (IGSM)",0.969,"Diffusion Degree","diffusion"
"Mixed core, degree and weighted entropy (MCDWE)",0.969,"Degree","degree"
"Extended neighborhood coreness",0.967,"Total communicability","communicability"
"Extended weight degree centrality (EWdc)",0.966,"Total communicability","communicability"
"Shell clustering coefficient",0.965,"Hubbel","hubbell"
"Weight neighborhood centrality",0.964,"Hubbel","hubbell"
"Mixed core, semi-local degree and entropy (MCSDE)",0.964,"Diffusion Degree","diffusion"
"Mixed core, semi-local degree and weighted entropy (MCSDWE)",0.964,"Diffusion Degree","diffusion"
"LocalRank",0.963,"Diffusion Degree","diffusion"
"Entropy-Based Ranking Measure (ERM)",0.963,"h-index strength","hindex_strength"
